iter	Passed	Remaining
0	75	151514
1	145	145202
2	215	143612
3	285	142683
4	326	130159
5	395	131489
6	443	126287
7	507	126458
8	580	128479
9	653	130137
10	729	131817
11	769	127402
12	837	128071
13	902	128073
14	957	126729
15	975	120995
16	1021	119161
17	1060	116773
18	1113	116111
19	1135	112450
20	1161	109410
21	1224	110125
22	1300	111784
23	1319	108604
24	1376	108774
25	1459	110833
26	1539	112509
27	1620	114106
28	1703	115771
29	1784	117200
30	1863	118365
31	1939	119291
32	2014	120074
33	2054	118823
34	2134	119856
35	2214	120828
36	2247	119212
37	2294	118486
38	2323	116846
39	2346	114955
40	2410	115172
41	2457	114563
42	2531	115225
43	2588	115071
44	2668	115923
45	2708	115040
46	2753	114421
47	2808	114208
48	2841	113133
49	2858	111481
50	2903	110953
51	2955	110710
52	2999	110182
53	3087	111277
54	3175	112313
55	3268	113455
56	3323	113293
57	3408	114123
58	3467	114084
59	3500	113195
60	3528	112172
61	3613	112950
62	3633	111709
63	3717	112448
64	3791	112876
65	3842	112587
66	3912	112880
67	3940	111946
68	4019	112484
69	4036	111283
70	4062	110383
71	4147	111073
72	4230	111679
73	4288	111629
74	4308	110590
75	4338	109830
76	4402	109959
77	4495	110768
78	4572	111190
79	4655	111729
80	4681	110900
81	4702	109992
82	4784	110505
83	4863	110938
84	4925	110979
85	5002	111334
86	5035	110714
87	5139	111669
88	5227	112250
89	5273	111921
90	5333	111882
91	5409	112189
92	5433	111408
93	5520	111937
94	5606	112416
95	5684	112751
96	5744	112691
97	5832	113205
98	5860	112526
99	5887	111855
100	5966	112178
101	5991	111484
102	6070	111794
103	6169	112474
104	6228	112413
105	6321	112945
106	6410	113415
107	6503	113937
108	6591	114345
109	6673	114671
110	6742	114747
111	6836	115250
112	6935	115812
113	7004	115883
114	7081	116075
115	7181	116639
116	7283	117218
117	7306	116526
118	7404	117036
119	7499	117487
120	7566	117502
121	7658	117892
122	7752	118305
123	7787	117824
124	7831	117475
125	7922	117831
126	7948	117227
127	8043	117629
128	8135	117998
129	8179	117658
130	8271	118014
131	8369	118439
132	8472	118927
133	8567	119300
134	8643	119412
135	8732	119684
136	8802	119696
137	8848	119387
138	8940	119693
139	9032	119998
140	9088	119829
141	9186	120198
142	9278	120496
143	9315	120060
144	9410	120385
145	9498	120624
146	9594	120945
147	9654	120814
148	9746	121077
149	9796	120827
150	9892	121138
151	9985	121399
152	10076	121639
153	10175	121968
154	10221	121667
155	10306	121830
156	10399	122078
157	10466	122017
158	10487	121432
159	10581	121686
160	10674	121929
161	10765	122144
162	10867	122479
163	10923	122288
164	11017	122525
165	11094	122572
166	11168	122582
167	11260	122791
168	11320	122650
169	11418	122920
170	11494	122947
171	11586	123142
172	11684	123392
173	11715	122942
174	11791	122963
175	11896	123290
176	11991	123506
177	12089	123750
178	12184	123957
179	12272	124087
180	12347	124091
181	12434	124203
182	12523	124349
183	12596	124320
184	12692	124523
185	12748	124332
186	12833	124424
187	12892	124263
188	12979	124370
189	13057	124386
190	13145	124503
191	13195	124262
192	13282	124364
193	13370	124466
194	13389	123941
195	13475	124032
196	13559	124104
197	13645	124191
198	13741	124360
199	13826	124440
200	13911	124514
201	14003	124646
202	14086	124693
203	14168	124740
204	14207	124406
205	14286	124416
206	14373	124503
207	14418	124224
208	14529	124512
209	14617	124594
210	14702	124661
211	14790	124742
212	14882	124860
213	14970	124939
214	15003	124560
215	15091	124646
216	15176	124698
217	15272	124843
218	15371	125007
219	15459	125077
220	15484	124647
221	15567	124682
222	15650	124713
223	15774	125071
224	15860	125119
225	15885	124696
226	15971	124747
227	16071	124905
228	16147	124880
229	16180	124516
230	16243	124390
231	16322	124387
232	16400	124373
233	16491	124461
234	16567	124435
235	16654	124483
236	16673	124027
237	16758	124072
238	16847	124133
239	16928	124145
240	16956	123763
241	17037	123766
242	17126	123835
243	17171	123581
244	17258	123626
245	17340	123640
246	17375	123319
247	17461	123353
248	17504	123092
249	17566	122962
250	17653	123009
251	17740	123056
252	17826	123092
253	17881	122917
254	17923	122652
255	17960	122356
256	18018	122200
257	18096	122183
258	18191	122284
259	18270	122269
260	18359	122327
261	18415	122160
262	18502	122200
263	18587	122229
264	18671	122246
265	18742	122178
266	18813	122110
267	18848	121809
268	18931	121824
269	19005	121779
270	19088	121787
271	19181	121857
272	19267	121885
273	19308	121627
274	19390	121632
275	19448	121484
276	19529	121480
277	19612	121484
278	19700	121523
279	19791	121577
280	19879	121613
281	19925	121392
282	20004	121371
283	20090	121392
284	20177	121419
285	20259	121416
286	20285	121079
287	20316	120767
288	20348	120473
289	20371	120123
290	20409	119860
291	20451	119624
292	20535	119639
293	20570	119367
294	20651	119357
295	20738	119384
296	20825	119413
297	20861	119146
298	20946	119164
299	21031	119178
300	21118	119204
301	21204	119225
302	21259	119068
303	21306	118867
304	21391	118880
305	21418	118572
306	21502	118578
307	21588	118594
308	21671	118595
309	21751	118580
310	21793	118358
311	21820	118052
312	21898	118028
313	21968	117959
314	21987	117613
315	22071	117619
316	22102	117344
317	22143	117123
318	22239	117194
319	22328	117227
320	22429	117316
321	22534	117429
322	22600	117338
323	22685	117347
324	22775	117380
325	22872	117450
326	22964	117492
327	22999	117239
328	23022	116930
329	23114	116975
330	23210	117035
331	23308	117105
332	23387	117080
333	23483	117135
334	23580	117197
335	23683	117289
336	23740	117152
337	23834	117197
338	23933	117269
339	24028	117317
340	24133	117411
341	24238	117507
342	24328	117529
343	24416	117537
344	24536	117702
345	24647	117824
346	24742	117865
347	24849	117961
348	24905	117817
349	25005	117883
350	25106	117951
351	25211	118033
352	25310	118089
353	25347	117858
354	25461	117983
355	25572	118091
356	25602	117828
357	25695	117856
358	25785	117868
359	25869	117848
360	25957	117849
361	26056	117900
362	26153	117943
363	26249	117976
364	26342	118000
365	26439	118036
366	26534	118067
367	26612	118019
368	26677	117915
369	26765	117911
370	26866	117967
371	26959	117982
372	27054	118010
373	27115	117888
374	27186	117808
375	27287	117858
376	27382	117881
377	27483	117930
378	27584	117979
379	27674	117981
380	27737	117868
381	27836	117903
382	27931	117926
383	28018	117911
384	28127	117989
385	28198	117908
386	28227	117650
387	28304	117596
388	28387	117561
389	28472	117538
390	28501	117287
391	28586	117262
392	28663	117206
393	28750	117191
394	28833	117160
395	28914	117116
396	28962	116945
397	29049	116926
398	29135	116909
399	29223	116892
400	29307	116864
401	29389	116825
402	29469	116781
403	29488	116494
404	29574	116473
405	29604	116231
406	29690	116208
407	29773	116173
408	29856	116142
409	29936	116094
410	30023	116076
411	30108	116048
412	30190	116010
413	30282	116010
414	30365	115975
415	30453	115956
416	30512	115831
417	30595	115795
418	30638	115608
419	30721	115571
420	30772	115414
421	30853	115372
422	30945	115368
423	31036	115360
424	31110	115290
425	31198	115274
426	31282	115239
427	31366	115205
428	31448	115162
429	31529	115120
430	31616	115096
431	31693	115035
432	31784	115024
433	31871	115002
434	31951	114950
435	32020	114862
436	32093	114788
437	32180	114760
438	32263	114721
439	32349	114694
440	32442	114689
441	32525	114647
442	32607	114603
443	32693	114574
444	32778	114540
445	32861	114498
446	32944	114456
447	33030	114426
448	33113	114383
449	33200	114358
450	33284	114318
451	33360	114252
452	33455	114252
453	33542	114220
454	33622	114167
455	33708	114137
456	33794	114102
457	33879	114064
458	33968	114042
459	34060	114029
460	34136	113962
461	34216	113907
462	34301	113867
463	34389	113841
464	34470	113790
465	34550	113735
466	34637	113701
467	34715	113641
468	34795	113587
469	34820	113350
470	34894	113277
471	34979	113239
472	35064	113198
473	35150	113165
474	35223	113086
475	35304	113033
476	35390	112996
477	35480	112974
478	35565	112931
479	35668	112951
480	35764	112944
481	35855	112922
482	35948	112907
483	36026	112843
484	36119	112826
485	36208	112796
486	36289	112744
487	36374	112700
488	36464	112674
489	36546	112622
490	36623	112556
491	36705	112503
492	36790	112460
493	36876	112420
494	36955	112358
495	37046	112334
496	37136	112305
497	37224	112271
498	37314	112242
499	37402	112207
500	37482	112146
501	37571	112114
502	37646	112042
503	37733	112002
504	37819	111960
505	37904	111916
506	37989	111870
507	38074	111825
508	38165	111797
509	38259	111778
510	38350	111749
511	38436	111704
512	38531	111689
513	38612	111630
514	38703	111600
515	38793	111568
516	38875	111514
517	38975	111509
518	39061	111465
519	39161	111459
520	39253	111430
521	39343	111398
522	39434	111367
523	39545	111391
524	39636	111358
525	39718	111301
526	39800	111245
527	39889	111205
528	39986	111191
529	40076	111156
530	40171	111133
531	40258	111088
532	40348	111052
533	40439	111018
534	40528	110980
535	40616	110938
536	40711	110914
537	40803	110881
538	40888	110831
539	40976	110788
540	41060	110735
541	41151	110698
542	41251	110686
543	41348	110668
544	41441	110636
545	41536	110613
546	41628	110579
547	41690	110465
548	41778	110420
549	41860	110359
550	41956	110334
551	42049	110303
552	42132	110245
553	42233	110233
554	42319	110183
555	42407	110137
556	42498	110100
557	42590	110064
558	42677	110014
559	42787	110025
560	42880	109990
561	42975	109961
562	43060	109906
563	43159	109888
564	43254	109858
565	43356	109845
566	43432	109769
567	43522	109726
568	43623	109710
569	43719	109681
570	43809	109638
571	43906	109613
572	43999	109577
573	44095	109546
574	44171	109468
575	44258	109417
576	44336	109343
577	44414	109269
578	44509	109235
579	44587	109163
580	44665	109087
581	44743	109013
582	44823	108945
583	44901	108870
584	44984	108809
585	45062	108734
586	45153	108691
587	45237	108631
588	45321	108571
589	45402	108505
590	45492	108457
591	45572	108389
592	45643	108298
593	45725	108231
594	45811	108175
595	45870	108057
596	45950	107986
597	46026	107907
598	46106	107837
599	46184	107764
600	46272	107712
601	46350	107638
602	46405	107509
603	46481	107429
604	46566	107371
605	46653	107318
606	46730	107240
607	46815	107183
608	46900	107123
609	46984	107063
610	47063	106990
611	47158	106955
612	47247	106903
613	47337	106855
614	47426	106805
615	47522	106771
616	47608	106713
617	47689	106644
618	47776	106589
619	47856	106518
620	47933	106442
621	48015	106375
622	48093	106299
623	48177	106236
624	48261	106175
625	48337	106095
626	48419	106028
627	48504	105969
628	48587	105904
629	48663	105824
630	48740	105745
631	48818	105669
632	48901	105604
633	48991	105554
634	49074	105490
635	49159	105429
636	49245	105371
637	49321	105290
638	49395	105207
639	49476	105136
640	49568	105090
641	49658	105041
642	49747	104988
643	49826	104914
644	49912	104855
645	49993	104785
646	50065	104696
647	50146	104625
648	50227	104555
649	50320	104511
650	50400	104440
651	50470	104346
652	50554	104283
653	50635	104213
654	50717	104146
655	50794	104066
656	50875	103996
657	50962	103938
658	51035	103851
659	51114	103778
660	51197	103712
661	51271	103626
662	51347	103547
663	51438	103496
664	51523	103433
665	51598	103352
666	51680	103282
667	51771	103232
668	51862	103181
669	51939	103104
670	52014	103020
671	52095	102950
672	52182	102892
673	52270	102834
674	52360	102781
675	52451	102731
676	52536	102668
677	52620	102601
678	52706	102541
679	52788	102471
680	52869	102401
681	52947	102323
682	53030	102255
683	53110	102182
684	53192	102113
685	53281	102057
686	53359	101980
687	53438	101906
688	53518	101833
689	53599	101761
690	53676	101682
691	53765	101625
692	53857	101575
693	53941	101509
694	54020	101433
695	54093	101347
696	54179	101285
697	54271	101234
698	54357	101171
699	54453	101127
700	54554	101092
701	54641	101031
702	54733	100980
703	54821	100922
704	54911	100866
705	55008	100822
706	55102	100773
707	55194	100722
708	55293	100683
709	55381	100622
710	55461	100549
711	55559	100505
712	55652	100454
713	55737	100389
714	55827	100332
715	55918	100278
716	56020	100243
717	56143	100245
718	56239	100199
719	56335	100152
720	56424	100092
721	56509	100027
722	56604	99977
723	56698	99927
724	56783	99861
725	56873	99801
726	56970	99756
727	57063	99704
728	57151	99643
729	57242	99586
730	57332	99527
731	57426	99477
732	57523	99430
733	57604	99356
734	57693	99295
735	57793	99253
736	57888	99203
737	57970	99130
738	58070	99088
739	58164	99036
740	58255	98978
741	58354	98935
742	58454	98892
743	58546	98836
744	58639	98782
745	58721	98708
746	58812	98651
747	58904	98594
748	58973	98498
749	59060	98434
750	59154	98381
751	59251	98331
752	59341	98272
753	59432	98213
754	59534	98172
755	59633	98127
756	59724	98067
757	59812	98003
758	59904	97946
759	59997	97891
760	60079	97816
761	60176	97767
762	60274	97718
763	60369	97665
764	60474	97629
765	60577	97588
766	60661	97517
767	60746	97447
768	60824	97366
769	60908	97295
770	61000	97236
771	61090	97175
772	61174	97102
773	61268	97047
774	61349	96972
775	61405	96855
776	61478	96767
777	61562	96695
778	61641	96615
779	61721	96538
780	61801	96460
781	61881	96382
782	61958	96300
783	62038	96222
784	62109	96131
785	62182	96043
786	62271	95978
787	62353	95904
788	62436	95831
789	62520	95759
790	62605	95689
791	62684	95609
792	62773	95545
793	62853	95467
794	62935	95392
795	63023	95326
796	63105	95252
797	63187	95177
798	63263	95093
799	63343	95014
800	63431	94949
801	63508	94867
802	63602	94808
803	63688	94740
804	63765	94658
805	63864	94607
806	63946	94532
807	64020	94446
808	64092	94355
809	64174	94280
810	64255	94204
811	64337	94129
812	64414	94046
813	64489	93961
814	64576	93894
815	64653	93810
816	64732	93731
817	64820	93665
818	64905	93593
819	64994	93528
820	65074	93450
821	65149	93364
822	65235	93295
823	65307	93206
824	65391	93132
825	65478	93064
826	65570	93004
827	65660	92939
828	65757	92885
829	65848	92822
830	65940	92761
831	66011	92670
832	66092	92592
833	66201	92554
834	66312	92519
835	66400	92452
836	66488	92384
837	66578	92319
838	66657	92239
839	66745	92172
840	66826	92094
841	66910	92022
842	66988	91939
843	67063	91855
844	67146	91780
845	67235	91714
846	67312	91630
847	67410	91576
848	67496	91505
849	67587	91441
850	67674	91372
851	67754	91293
852	67826	91203
853	67910	91130
854	68003	91069
855	68083	90990
856	68162	90910
857	68244	90833
858	68331	90764
859	68415	90689
860	68509	90629
861	68593	90555
862	68678	90483
863	68760	90407
864	68842	90331
865	68926	90257
866	69011	90184
867	69095	90111
868	69172	90027
869	69260	89958
870	69344	89885
871	69428	89810
872	69512	89737
873	69600	89668
874	69682	89592
875	69769	89521
876	69852	89445
877	69928	89361
878	70009	89284
879	70087	89202
880	70170	89126
881	70272	89075
882	70366	89014
883	70458	88949
884	70550	88886
885	70642	88821
886	70742	88766
887	70839	88708
888	70927	88638
889	71020	88576
890	71105	88502
891	71198	88439
892	71290	88374
893	71376	88302
894	71469	88238
895	71573	88188
896	71684	88146
897	71781	88087
898	71870	88019
899	71959	87950
900	72049	87883
901	72139	87814
902	72226	87743
903	72312	87670
904	72398	87597
905	72497	87540
906	72598	87486
907	72686	87416
908	72790	87364
909	72884	87301
910	72978	87237
911	73060	87159
912	73157	87099
913	73257	87043
914	73350	86978
915	73446	86917
916	73544	86857
917	73637	86792
918	73727	86724
919	73821	86659
920	73920	86601
921	74003	86525
922	74087	86448
923	74176	86378
924	74267	86310
925	74353	86237
926	74447	86172
927	74535	86101
928	74634	86042
929	74720	85969
930	74812	85901
931	74914	85845
932	75005	85777
933	75099	85712
934	75190	85644
935	75295	85592
936	75381	85518
937	75480	85458
938	75572	85391
939	75663	85322
940	75754	85253
941	75849	85189
942	75942	85123
943	76042	85064
944	76140	85003
945	76235	84938
946	76310	84852
947	76403	84785
948	76500	84723
949	76594	84657
950	76680	84582
951	76760	84500
952	76837	84416
953	76920	84338
954	77003	84260
955	77088	84183
956	77174	84110
957	77264	84039
958	77351	83966
959	77430	83883
960	77516	83807
961	77594	83724
962	77670	83638
963	77760	83568
964	77843	83489
965	77928	83413
966	78002	83326
967	78093	83256
968	78184	83186
969	78269	83111
970	78355	83035
971	78437	82956
972	78525	82883
973	78622	82819
974	78702	82738
975	78792	82668
976	78879	82593
977	78967	82520
978	79051	82442
979	79140	82371
980	79229	82298
981	79302	82210
982	79388	82134
983	79468	82052
984	79587	82011
985	79698	81961
986	79809	81911
987	79907	81849
988	80004	81783
989	80102	81721
990	80207	81664
991	80304	81599
992	80400	81534
993	80494	81466
994	80591	81401
995	80681	81329
996	80771	81257
997	80868	81192
998	80958	81120
999	81056	81056
1000	81157	80995
1001	81257	80932
1002	81344	80857
1003	81439	80790
1004	81533	80722
1005	81617	80643
1006	81712	80576
1007	81799	80501
1008	81881	80421
1009	81969	80345
1010	82062	80277
1011	82153	80204
1012	82264	80153
1013	82364	80090
1014	82454	80017
1015	82542	79942
1016	82634	79871
1017	82706	79781
1018	82791	79704
1019	82861	79612
1020	82933	79521
1021	83021	79446
1022	83109	79372
1023	83191	79291
1024	83275	79213
1025	83369	79143
1026	83453	79065
1027	83536	78985
1028	83624	78910
1029	83702	78827
1030	83795	78756
1031	83878	78676
1032	83967	78602
1033	84050	78523
1034	84131	78441
1035	84211	78359
1036	84296	78281
1037	84393	78214
1038	84476	78134
